"";"Country";"P_Mt"
"1";"Afghanistan";"3.36406326293945"
"2";"Aksai Chin";"0"
"3";"Albania";"0.246056437492371"
"4";"Algeria";"2.61330580711365"
"5";"American Samoa";"0"
"6";"Andorra";"4.90763838456587e-08"
"7";"Angola";"0.00398443639278412"
"8";"Anguilla";"0"
"9";"Antarctica";"0"
"10";"Antigua and Barbuda";"0"
"11";"Argentina";"14.504451751709"
"12";"Armenia";"0.237117558717728"
"13";"Aruba";"0"
"14";"Arunachal Pradesh";"0.00380307645536959"
"15";"Ashmore and Cartier Islands";"0"
"16";"Australia";"19.2647075653076"
"17";"Austria";"1.51021599769592"
"18";"Azerbaijan";"1.53349351882935"
"19";"Azores Islands";"0"
"20";"Bahamas";"0"
"21";"Bahrain";"0"
"22";"Baker Island";"0"
"23";"Bangladesh";"0.996015429496765"
"24";"Barbados";"0"
"25";"Bassas da India";"0"
"26";"Belarus";"1.12149095535278"
"27";"Belgium";"1.78332507610321"
"28";"Belize";"6.84541328155319e-06"
"29";"Benin";"1.73023295246821e-06"
"30";"Bermuda";"0"
"31";"Bhutan";"0.00832513999193907"
"32";"Bird Island";"0"
"33";"Bolivia";"0.130133643746376"
"34";"Bosnia and Herzegovina";"0.273353278636932"
"35";"Botswana";"0.000504335330333561"
"36";"Bouvet Island";"0"
"37";"Brazil";"4.315749168396"
"38";"British Indian Ocean Territory";"0"
"39";"British Virgin Islands";"0"
"40";"Brunei Darussalam";"0"
"41";"Bulgaria";"3.59069275856018"
"42";"Burkina Faso";"2.79206983577751e-06"
"43";"Burundi";"0.00780486455187201"
"44";"Cambodia";"0"
"45";"Cameroon";"0.000693254114594311"
"46";"Canada";"25.2678394317627"
"47";"Cape Verde";"0"
"48";"Cayman Islands";"0"
"49";"Central African Republic";"6.80237288719354e-09"
"50";"Chad";"0.00182157149538398"
"51";"Chile";"1.71641910076141"
"52";"China";"99.1843948364258"
"53";"China/India";"1.05136577985832e-05"
"54";"Christmas Island";"0"
"55";"Clipperton Island";"0"
"56";"Cocos (Keeling) Islands";"0"
"57";"Colombia";"0.0378663465380669"
"58";"Comoros";"0"
"59";"Congo";"1.61170828505419e-06"
"60";"Cook Islands";"0"
"61";"Costa Rica";"0"
"62";"Côte d'Ivoire";"0"
"63";"Croatia";"0.750097990036011"
"64";"Cuba";"0"
"65";"Cyprus";"0.00838414020836353"
"66";"Czech Republic";"4.24487161636353"
"67";"Dem People's Rep of Korea";"0.183832600712776"
"68";"Democratic Republic of the Congo";"0.00870415382087231"
"69";"Denmark";"4.60138463973999"
"70";"Djibouti";"0"
"71";"Dominica";"0"
"72";"Dominican Republic";"0"
"73";"Ecuador";"0.00881912279874086"
"74";"Egypt";"7.83681011199951"
"75";"El Salvador";"6.60893647363991e-06"
"76";"Equatorial Guinea";"0"
"77";"Eritrea";"0.0173588581383228"
"78";"Estonia";"0.225380510091782"
"79";"Ethiopia";"2.00360417366028"
"80";"Europa Island";"0"
